journal_full_title;issn;eissn;doi;period;is_gold;is_hybrid;is_green;non_oa;bfi_level;publisher;institution;corresponding_author;corresponding_institution;euro;submission_fee;page_charge;color_charge;CC-charge;discount;dk_funding
Genes;2073-44252011 ? …;;10.3390/genes6010001;2015;;;;;2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Afd. for Endokrinologisk Forskning;;;;;;;;;
Scientific Reports;2045-2322;;10.1038/srep30076;2016;;;;;2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:1;;Afd. for Endokrinologisk Forskning;;;;;;;;;
New Journal of Physics;1367-2630;;10.1088/1367-2630/17/3/033030;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Afd. for Nyre- og Karforskning;;;;;;;;;
Scandinavian Journal of Medicine & Science in Sports;0905-7188;;10.1111/sms.12151;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:1, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Afd. for Systembiologisk forskning;;;;;;;;;
European Journal of Clinical Nutrition;0954-3007;;10.1038/ejcn.2014.224;2015;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Afdeling for Sundhedstjenesteforskning;;;;;;;;;
P L o S Genetics;1553-7390;;10.1371/journal.pgen.1005697;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:1, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Afdeling I;;;;;;;;;
Nature Communications;2041-17232011 ? …;;10.1038/ncomms6969;2015;;;;;2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Afdeling IV;;;;;;;;;
Breast Cancer Research (Online);1465-542X;;10.1186/s13058-016-0769-2;2016;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:1;;Afdeling VI;;;;;;;;;
Nature Communications;2041-1723;;10.1038/ncomms9786;2015;;;;;2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Afdeling VI;;;;;;;;;
Oncogene;0950-9232;;10.1038/onc.2013.563;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Afdeling VIII;;;;;;;;;
Acta Agriculturae Scandinavica. Section B. Soil and Plant Science;0906-4710;;10.1080/090647 10.2015.1015439;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Afgrødevidenskab;;;;;;;;;
Agricultural and Forest Meteorology;0168-1923;;10.1016/j.agrformet.2014.11.003;2015;;;;true;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;Elsevier;Afgrødevidenskab;;;;;;;;;
Agronomy Journal;0002-1962;;10.2134/agronj14.0460;2015;;;;true;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Afgrødevidenskab;;;;;;;;;
Annals of Applied Biology;0003-4746;;10.1111/aab.12183;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Afgrødevidenskab;;;;;;;;;
B M C Plant Biology;1471-2229;;10.1186/s12870-014-0394-0;2015;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Afgrødevidenskab;;;;;;;;;
B M C Plant Biology;1471-2229;;10.1186/s12870-015-0610-6;2015;;;;;2008:BFI:2, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Afgrødevidenskab;;;;;;;;;
Computers and Electronics in Agriculture;0168-1699;;10.1016/j.compag.2015.01.008;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Afgrødevidenskab;;;;;;;;;
Frontiers in Microbiology;1664-302X2012 ? …;;10.3389/fmicb.2015.00995;2015;;;;;2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Afgrødevidenskab;;;;;;;;;
Frontiers in Plant Science;1664-462X2012 ? …;;10.3389/fpls.2015.01154;2015;;;;;2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Afgrødevidenskab;;;;;;;;;
Frontiers in Plant Science;1664-462X;;10.3389/fpls.2015.00522;2015;;;;;2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Afgrødevidenskab;;;;;;;;;
Frontiers in Plant Science;1664-462X2012 ? …;;10.3389/fpls.2015.00802;2015;;;;;2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Afgrødevidenskab;;;;;;;;;
Frontiers in Plant Science;1664-462X2012 ? …;;10.3389/fpls.2015.00019;2015;;;;;2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Afgrødevidenskab;;;;;;;;;
Journal of Agronomy and Crop Science;0931-2250;;10.1111/jac.12091;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Afgrødevidenskab;;;;;;;;;
Journal of Biological Chemistry;0021-9258;;10.1074/jbc.M115.659631;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Afgrødevidenskab;;;;;;;;;
P L o S One;1932-6203;;10.1371/journal.pone.0137537;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Afgrødevidenskab;;;;;;;;;
P L o S One;1932-6203;;10.1371/journal.pone.0123869;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Afgrødevidenskab;;;;;;;;;
Plant Physiology and Biochemistry;0981-9428;;10.1016/j.plaphy.2015.02.019;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Afgrødevidenskab;;;;;;;;;
Plant, Soil and Environment;1214-1178;;10.17221/178/2015-PSE;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Afgrødevidenskab;;;;;;;;;
Scientific Reports;2045-2322;;10.1038/srep23310;2016;;;;;2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:1;;Afgrødevidenskab;;;;;;;;;
Weed Research;0043-1737;;10.1111/wre.12109;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:1, 2015:BFI:1;;Afgrødevidenskab;;;;;;;;;
Metallomics;1756-5901;;10.1039/c5mt00272a;2016;;;;;2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:1;;Analytical Biosciences;;;;;;;;;
Scientia Pharmaceutica;0036-8709;;10.3797/scipharm.1410-14;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Analytical Biosciences;;;;;;;;;
Astronomy & Astrophysics;0004-6361;;10.1051/0004-6361/201322536;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Astrofysik og Planetforskning;;;;;;;;;
Astronomy & Astrophysics;0004-6361;;10.1051/0004-6361/201425256;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Astrofysik og Planetforskning;;;;;;;;;
Astronomy & Astrophysics;0004-6361;;10.1051/0004-6361/201424967;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Astrofysik og Planetforskning;;;;;;;;;
Astronomy & Astrophysics;1432-0746;;10.1051/0004-6361/201425417;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Astrofysik og Planetforskning;;;;;;;;;
Royal Astronomical Society. Monthly Notices;0035-8711;;;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Astrofysik og Planetforskning;;;;;;;;;
American Journal of Human Genetics;0002-9297;;10.1016/j.ajhg.2014.11.012;2015;;true;true;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Bioinformatik og RNA Biologi;non-dk;;;;;;;;
B M C Veterinary Research;1746-6148;;10.1186/s12917-015-0333-9;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Bioinformatik og RNA Biologi;;;;;;;;;
BMC Veterinary Research;1746-6148;;10.1186/s12917-015-0616-1;2016;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:1;;Bioinformatik og RNA Biologi;;;;;;;;;
Blood;0006-4971;;10.1182/blood-2014-03-562660;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Bioinformatik og RNA Biologi;;;;;;;;;
Cell Reports;;;10.1016/j.celrep.2016.07.070;2016;;;;;2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2, 2016:BFI:2;;Bioinformatik og RNA Biologi;;;;;;;;;
E M B O Reports;1469-221X;;10.15252/embr.201541866;2016;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2, 2016:BFI:2;;Bioinformatik og RNA Biologi;;;;;;;;;
Emerging Infectious Diseases (Print Edition);1080-6040;;10.3201/eid2101.140995;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Bioinformatik og RNA Biologi;;;;;;;;;
European Journal of Wildlife Research;1612-4642;;10.1007/s10344-014-0880-6;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Bioinformatik og RNA Biologi;;;;;;;;;
Frontiers in Microbiology;1664-302X;;10.3389/fmicb.2016.00552;2016;;;;;2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:1;;Bioinformatik og RNA Biologi;;;;;;;;;
Genome Biology (Online Edition);1474-760X2010 ? …;;10.1186/s13059-015-0687-0;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Bioinformatik og RNA Biologi;;;;;;;;;
Genome Biology (Online Edition);1474-760X2010 ? …;;10.1186/s13059-014-0560-6;2015;;;;;2008:BFI:1, 2009:BFI:1, 2010:BFI:1, 2011:BFI:1, 2012:BFI:1, 2013:BFI:1, 2014:BFI:1, 2015:BFI:1;;Bioinformatik og RNA Biologi;;;;;;;;;
Genome Research;1088-9051;;10.1101/gr.190546.115;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Bioinformatik og RNA Biologi;;;;;;;;;
Genomics Data;2213-5960;;10.1016/j.gdata.2016.01.014;2016;;;;;2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:1;;Bioinformatik og RNA Biologi;;;;;;;;;
Molecular Cell;1097-2765;;10.1016/j.molcel.2015.11.011;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Bioinformatik og RNA Biologi;;;;;;;;;
Nature Communications;2041-1723;;10.1038/ncomms11257;2016;;;;;2013:BFI:1, 2014:BFI:1, 2015:BFI:1, 2016:BFI:2;;Bioinformatik og RNA Biologi;;;;;;;;;
Nucleic Acids Research;0305-1048;;10.1093/nar/gkv759;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Bioinformatik og RNA Biologi;;;;;;;;;
Nucleic Acids Research;0305-1048;;10.1093/nar/gkv1014;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Bioinformatik og RNA Biologi;;;;;;;;;
Nucleic Acids Research;0305-1048;;10.1093/nar/gkv603;2015;;;;;2008:BFI:2, 2009:BFI:2, 2010:BFI:2, 2011:BFI:2, 2012:BFI:2, 2013:BFI:2, 2014:BFI:2, 2015:BFI:2;;Bioinformatik og RNA Biologi;;;;;;;;;
